canonical_key,total_mentions,variations,final_gender_contextual,coref_gender
Goldwin_Smith,1,[' Goldwin Smith'],Unknown,Unknown
Memling,1,['Memling'],Unknown,Unknown
Meissonier,1,['Meissonier'],Unknown,Male
Scott,1,['Scott'],Unknown,Unknown
George_Saintsbury,1,['George Saintsbury'],Male,Male
Jones,1,['Jones'],Female,Female
Mary_Wollstonecraft,1,['Mary Wollstonecraft'],Female,Female
Grant,1,['Grant'],Unknown,Unknown
John_Dashwood,1,['John Dashwood'],Male,Male
Philistinism,1,['Philistinism'],Unknown,Unknown
Lady_Powerful,1,['Lady Powerful'],Female,Female
Bountiful,1,['Bountiful'],Unknown,Unknown
Austen_Leigh,1,['Austen Leigh'],Unknown,Unknown
Austen_Leigh,1,[' Austen Leigh'],Unknown,Unknown
Don_Juanish,1,['Don Juanish'],Unknown,Unknown
Henry,1,['Henry'],Male,Male
Diana_Vernon,1,['Diana Vernon'],Female,Female
Argemone_Lavington,1,['Argemone Lavington'],Unknown,Unknown
Diana,1,['Diana'],Female,Female
Nicholls,1,['Nicholls'],Male,Male
Morris,1,[' Morris'],Male,Male
Observing,1,['Observing'],Male,Male
Boulanger,1,['Boulanger'],Unknown,Unknown
G,1,['G'],Unknown,Unknown
Miss_Watson,1,['Miss Watson'],Female,Female
Clarke,1,['Clarke'],Unknown,Unknown
Hursts,1,['Hursts'],Unknown,Unknown
Jane_Bennet,1,['Jane Bennet'],Female,Female
Miss_Grantley,1,['Miss Grantley'],Female,Female
De_Maupassant,1,[' de Maupassant'],Unknown,Unknown
Westerham,1,['Westerham'],Unknown,Unknown
Forsters,1,['Forsters'],Unknown,Unknown
Richard,1,['Richard'],Male,Male
Pen,1,['Pen'],Unknown,Male
Caroline_Bingley,1,['Caroline Bingley'],Female,Female
Georgiana_Darcy,1,['Georgiana Darcy'],Female,Female
St,1,['St'],Male,Male
Chamberlayne,1,['Chamberlayne'],Unknown,Unknown
Lodge,1,['Lodge'],Male,Male
Fitzwilliam_Darcy,1,['Fitzwilliam Darcy'],Unknown,Unknown
C,1,['C'],Unknown,Unknown
Hi,1,['Hi'],Unknown,Unknown
Maria_Lucas,1,['Maria Lucas'],Female,Female
James,1,['James'],Male,Male
Elizab,1,['Elizab'],Unknown,Unknown
Miss_Webbs,1,['Miss Webbs'],Female,Female
Lady_Metcalfe,1,['Lady Metcalfe'],Female,Female
Miss_Pope,1,['Miss Pope'],Female,Female
Darc,1,['Darc'],Unknown,Unknown
O,1,['O'],Unknown,Unknown
Lady_Anne,1,['Lady Anne'],Female,Female
Bromley,1,['Bromley'],Unknown,Unknown
Mary_King,1,['Mary King'],Female,Female
Harringtons,1,['Harringtons'],Unknown,Unknown
Elizabe,1,['Elizabe'],Unknown,Unknown
Pray,1,['Pray'],Female,Female
Brighton,1,['Brighton'],Female,Female
Woods,1,['Woods'],Female,Female
Aunt,1,['aunt'],Female,Female
Dovedale,1,['Dovedale'],Female,Female
Lambton,1,['Lambton'],Female,Female
Fordyce,1,['Fordyce'],Unknown,Unknown
Green,1,['Green'],Male,Male
Lydia_Wickham,1,['Lydia Wickham'],Female,Female
Sally,1,['Sally'],Female,Female
Clapham,1,['Clapham'],Male,Male
E,1,['E'],Unknown,Unknown
B,1,['B'],Unknown,Unknown
Goulding,1,['Goulding'],Male,Male
Stone,1,['Stone'],Unknown,Unknown
Niece,1,['Niece'],Female,Female
Edward_Street,1,['Edward Street'],Male,Male
Younge,1,['Younge'],Female,Female
Street,1,['Street'],Male,Male
Nichols,1,[' Nichols'],Female,Female
Well,1,['Well'],Female,Female
Sarah,1,['Sarah'],Female,Female
Ben,1,['Ben'],Male,Male
Hertfordshire,1,['Hertfordshire'],Male,Male
William_Goulding,1,['William Goulding'],Male,Male
Catherin,1,['Catherin'],Unknown,Unknown
