canonical_key,total_mentions,variation_count,variations
Nicholls,1,1,['Nicholls']
Westerham,1,1,['Westerham']
Fordyce,1,1,['Fordyce']
Richard,1,1,['Richard']
Pray,1,1,['Pray']
Caroline_Bingley,1,1,['Caroline Bingley']
Georgiana_Darcy,1,1,['Georgiana Darcy']
St,1,1,['St']
James,1,1,['James']
Lodge,1,1,['Lodge']
Fitzwilliam_Darcy,1,1,['Fitzwilliam Darcy']
C,1,1,['C']
Hi,1,1,['Hi']
Maria_Lucas,1,1,['Maria Lucas']
Elizabe,1,1,['Elizabe']
Elizab,1,1,['Elizab']
Miss_Webbs,1,1,['Miss Webbs']
Lady_Metcalfe,1,1,['Lady Metcalfe']
Miss_Pope,1,1,['Miss Pope']
Darc,1,1,['Darc']
O,1,1,['O']
Lady_Anne,1,1,['Lady Anne']
Bromley,1,1,['Bromley']
Mary_King,1,1,['Mary King']
Harringtons,1,1,['Harringtons']
Pen,1,1,['Pen']
Chamberlayne,1,1,['Chamberlayne']
Aunt,1,1,['aunt']
B,1,1,['B']
Woods,1,1,['Woods']
Dovedale,1,1,['Dovedale']
Lambton,1,1,['Lambton']
Brighton,1,1,['Brighton']
Forsters,1,1,['Forsters']
Green,1,1,['Green']
Lydia_Wickham,1,1,['Lydia Wickham']
Sally,1,1,['Sally']
Clapham,1,1,['Clapham']
E,1,1,['E']
Goulding,1,1,['Goulding']
William_Goulding,1,1,['William Goulding']
Stone,1,1,['Stone']
Niece,1,1,['Niece']
Edward_Street,1,1,['Edward Street']
Younge,1,1,['Younge']
Street,1,1,['Street']
Nichols,1,1,[' Nichols']
Well,1,1,['Well']
Sarah,1,1,['Sarah']
Ben,1,1,['Ben']
Hertfordshire,1,1,['Hertfordshire']
Catherin,1,1,['Catherin']
