canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
Annesley,3,1,[' Annesley'],Unknown,Unknown,Female,0,5,3,Female
Sir_Lewis_De_Bourgh,3,1,['Sir Lewis de Bourgh'],Male,Male,Unknown,0,0,0,Male
Reynolds,3,1,['Reynolds'],Unknown,Unknown,Female,7,10,10,Female
Younge,3,1,[' Younge'],Unknown,Unknown,Female,8,9,4,Female
Anne,3,1,['Anne'],Female,Female,Unknown,0,0,0,Female
De,3,2,"['De', 'de']",Unknown,Unknown,Female,47,50,43,Female
Lucas_Lodge,3,1,['Lucas Lodge'],Unknown,Unknown,Unknown,0,0,0,Unknown
Kent,3,1,['Kent'],Unknown,Unknown,Female,18,20,14,Female
Robinson,3,1,[' Robinson'],Male,Male,Unknown,0,0,0,Male
Robinson,3,1,['Robinson'],Male,Male,Unknown,0,0,0,Male
Colonel_Miller,3,2,"['Colonel Miller', 'Miller']",Male,Male,Unknown,0,0,0,Male
Emma,3,1,['Emma'],Female,Female,Unknown,0,0,0,Female
Miss_Eliza_Bennet,3,2,"['Eliza Bennet', 'Miss Eliza Bennet']",Female,Female,Unknown,0,0,0,Female
W,2,1,['W'],Unknown,Unknown,Unknown,0,0,0,Unknown
John,2,1,['John'],Male,Male,Unknown,0,0,0,Male
King,2,1,['King'],Unknown,Unknown,Male,8,3,8,Male
Harriet,2,1,['Harriet'],Female,Female,Unknown,0,0,0,Female
Pratt,2,1,['Pratt'],Unknown,Unknown,Male,2,0,2,Male
Haggerston,2,1,['Haggerston'],Unknown,Unknown,Unknown,0,0,2,Unknown
Lady_Anne_Darcy,2,2,"['Anne Darcy', 'Lady Anne Darcy']",Female,Female,Unknown,0,0,0,Female
Hill,2,1,[' Hill'],Unknown,Unknown,Female,0,5,11,Female
Gouldings,2,1,['Gouldings'],Unknown,Unknown,Unknown,0,1,2,Unknown
General,2,1,['General'],Unknown,Unknown,Male,57,50,54,Male
Newcastle,2,1,['Newcastle'],Unknown,Unknown,Female,1,2,4,Female
Miss_Lizzy,2,1,['Miss Lizzy'],Female,Female,Unknown,0,0,0,Female
Heaven,2,1,['Heaven'],Unknown,Unknown,Unknown,0,0,12,Unknown
Philipses,2,1,['Philipses'],Unknown,Unknown,Unknown,1,1,2,Unknown
Eltons,2,1,['Eltons'],Unknown,Unknown,Female,0,3,2,Female
Mamma,2,1,['Mamma'],Unknown,Unknown,Female,7,9,11,Female
Fanny,2,1,['Fanny'],Female,Female,Unknown,0,0,0,Female
Crawford,2,1,['Crawford'],Unknown,Unknown,Male,2,0,2,Male
Norris,2,1,[' Norris'],Unknown,Unknown,Male,2,1,2,Male
Jane_Austen,2,1,['Jane Austen'],Female,Female,Unknown,0,0,0,Female
M,2,1,['M'],Unknown,Unknown,Unknown,0,0,0,Unknown
Thackeray,2,1,['Thackeray'],Unknown,Unknown,Unknown,1,0,2,Unknown
Beatrix,2,1,['Beatrix'],Unknown,Unknown,Unknown,0,0,2,Unknown
Barbara,2,1,['Barbara'],Female,Female,Unknown,0,0,0,Female
Dawson,2,1,['Dawson'],Unknown,Unknown,Male,2,0,2,Male
Elizabe,1,1,['Elizabe'],Unknown,Unknown,Unknown,0,0,0,Unknown
Harringtons,1,1,['Harringtons'],Unknown,Unknown,Unknown,0,1,1,Unknown
Mary_King,1,1,['Mary King'],Female,Female,Unknown,0,0,0,Female
Bromley,1,1,['Bromley'],Unknown,Unknown,Unknown,0,0,1,Unknown
