canonical_key,total_mentions,variation_count,variations,gender_from_xml,classified_gender,final_gender
M. de Maupassant,1,1,M. de Maupassant,,Unknown,Unknown
Memling,1,1,Memling,,Unknown,Unknown
Meissonier,1,1,Meissonier,,Unknown,Unknown
Cosway,1,1,Cosway,,Unknown,Unknown
Scott,1,1,Scott,,Unknown,Unknown
Coleridge,1,1,Coleridge,,Unknown,Unknown
Austen Leigh,1,1,Austen Leigh,,Unknown,Unknown
Fordyce,1,1,Fordyce,,Unknown,Unknown
Henry Tilney,1,1,Henry Tilney,,Unknown,Unknown
Don Juanish,1,1,Don Juanish,,Unknown,Unknown
Venus,1,1,Venus,,Unknown,Unknown
Anne Darcy,1,1,Anne Darcy,,Unknown,Unknown
Catherine de Bourgh's,1,1,Catherine de Bourgh's,,Unknown,Unknown
Richard,1,1,Richard,,Male,Male
God,1,1,God,,Unknown,Unknown
Ramsgate,1,1,Ramsgate,,Unknown,Unknown
Pope,1,1,Pope,,Unknown,Unknown
Metcalfe,1,1,Metcalfe,,Unknown,Unknown
Lucas Lodge,1,1,Lucas Lodge,,Unknown,Unknown
Georgiana Darcy,1,1,Georgiana Darcy,,Unknown,Unknown
Webbs,1,1,Webbs,,Unknown,Unknown
Vain,1,1,Vain,,Unknown,Unknown
Grantley,1,1,Grantley,,Unknown,Unknown
Nicholls,1,1,Nicholls,,Unknown,Unknown
"Jane Bennet,--she",1,1,"Jane Bennet,--she",,Unknown,Unknown
Mr_Collins,1,1,WILLIAM COLLINS,Male,Male,Male
Harringtons,1,1,Harringtons,,Unknown,Unknown
Bromley,1,1,Bromley,,Unknown,Unknown
FITZWILLIAM DARCY.,1,1,FITZWILLIAM DARCY.,,Unknown,Unknown
Dawson,1,1,Dawson,,Unknown,Unknown
Dovedale,1,1,Dovedale,,Unknown,Unknown
Matlock,1,1,Matlock,,Unknown,Unknown
Chamberlayne,1,1,Chamberlayne,,Unknown,Unknown
Colonel,1,1,Colonel,,Male,Male
Pen,1,1,Pen,,Unknown,Unknown
Sally,1,1,Sally,,Female,Female
Lydia Wickham,1,1,Lydia Wickham,,Unknown,Unknown
Forsters,1,1,Forsters,,Unknown,Unknown
L.,1,1,L.,,Unknown,Unknown
EDW. GARDINER.,1,1,EDW. GARDINER.,,Unknown,Unknown
Ashworth,1,1,Ashworth,,Unknown,Unknown
William Goulding,1,1,William Goulding,,Unknown,Unknown
Stone,1,1,Stone,,Unknown,Unknown
Nichols,1,1,Nichols,,Unknown,Unknown
Sarah,1,1,Sarah,,Female,Female
Lambton,1,1,Lambton,,Unknown,Unknown
