canonical_key,total_mentions,variation_count,variations
Hugh_Thomson_Ruskin,1,1,['Hugh Thomson Ruskin']
Hursts,1,1,['Hursts']
Jamey,1,1,['James']
Jane_Bennet,1,1,['Jane Bennet']
Jane_Fairfax,1,1,['Jane Fairfax']
John_Dashwood,1,1,['John Dashwood']
John_Thorpe,1,1,['John Thorpe']
Lady_Anne,1,1,['Lady Anne']
Lady_Anne_Darcy,1,1,['Lady Anne Darcy']
Lady_Metcalfe,1,1,['Lady Metcalfe']
Lady_Powerful,1,1,['Lady Powerful']
Lambton,1,1,['Lambton']
Lodge,1,1,['Lodge']
Lydia_Wickham,1,1,['Lydia Wickham']
Maria_Lucas,1,1,['Maria Lucas']
Mary_King,1,1,['Mary King']
Mary_Wollstonecraft,1,1,['Mary Wollstonecraft']
Meissonier,1,1,['Meissonier']
Memling,1,1,['Memling']
Mentor,1,1,['Mentor']
Miller,1,1,['Miller']
Miss_Bates,1,1,['Miss Bates']
Miss_Burney,1,1,['Miss Burney']
Miss_Grantley,1,1,['Miss Grantley']
Miss_Lydia,1,1,['Miss Lydia']
Miss_Pope,1,1,['Miss Pope']
Miss_Watson,1,1,['Miss Watson']
Miss_Webbs,1,1,['Miss Webbs']
Niece,1,1,['Niece']
O,1,1,['O']
Observing,1,1,['Observing']
Pen,1,1,['Pen']
Philistinism,1,1,['Philistinism']
Pray,1,1,['Pray']
Dick,1,1,['Richard']
Salvador,1,1,['Sally']
Sarah,1,1,['Sarah']
Prescott,1,1,['Scott']
Smollett,1,1,['Smollett']
St,1,1,['St']
Stone,1,1,['Stone']
Street,1,1,['Street']
Walt_Whitman,1,1,['Walt Whitman']
Well,1,1,['Well']
Westerham,1,1,['Westerham']
William_Goulding,1,1,['William Goulding']
Woods,1,1,['Woods']
Aunt,1,1,['aunt']
