canonical_key,total_mentions,variation_count,variations
Vincent,1,1,[' Vincent']
Scott,1,1,['Scott']
Medusa,1,1,['Medusa']
Almighty_God,1,1,['Almighty God']
Goodness,1,1,['Goodness']
Hennessey,1,1,[' Hennessey']
Draculas,1,1,['Draculas']
Windham,1,1,['Windham']
Derby,1,1,['Derby']
Union,1,1,['Union']
Domine,1,1,['Domine']
Thomas_Snelling,1,1,['Thomas Snelling']
Joseph_Smollet,1,1,[' Joseph Smollet']
Bloxam,1,1,['Bloxam']
Korkrans,1,1,['Korkrans']
Poters_Cort,1,1,['Poters Cort']
Arsk,1,1,['Arsk']
Bloxam,1,1,[' Bloxam']
Malvolio,1,1,['Malvolio']
Lordship,1,1,['Lordship']
Simmons,1,1,['Simmons']
Acherontia,1,1,['Acherontia']
Moon,1,1,['Moon']
Harkers,1,1,['Harkers']
Dead,1,1,['Dead']
Friend_Quincey,1,1,['Friend Quincey']
Arminus,1,1,['Arminus']
Tally_Ho,1,1,['Tally Ho']
Doolittle,1,1,['Doolittle']
Ristics,1,1,['Ristics']
Angel,1,1,['Angel']
Judge_Moneybag,1,1,['Judge Moneybag']
Dardanelles,1,1,['Dardanelles']
Lloyd,1,1,['Lloyd']
Rufus_Smith,1,1,['Rufus Smith']
Kukri,1,1,['Kukri']
Exeter,1,1,['Exeter']
Morris_Quincey,1,1,['Morris Quincey']
Hans,1,1,['Hans']
Archimedes,1,1,['Archimedes']
Nordau,1,1,['Nordau']
Lombroso,1,1,['Lombroso']
Cattle,1,1,['Cattle']
Me,1,1,['Me']
De_Ville,1,1,[' de Ville']
Petrof,1,1,['Petrof']
Hildes,1,1,['Hildes']
Bistritza,1,1,['Bistritza']
