canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
Rufus,2,1,['Rufus'],Unknown,Unknown,Unknown,0,0,0,Unknown
Smith,2,1,['Smith'],Male,Male,Unknown,0,0,0,Male
Petrof_Skinsky,2,1,['Petrof Skinsky'],Unknown,Unknown,Unknown,0,0,0,Unknown
Szgany,2,1,['Szgany'],Unknown,Unknown,Male,6,0,13,Male
Carter_Paterson,2,1,['Carter Paterson'],Unknown,Unknown,Unknown,0,0,0,Unknown
Arminius,2,1,['Arminius'],Unknown,Unknown,Male,3,0,2,Male
Jack_Seward,2,1,['Jack Seward'],Unknown,Unknown,Unknown,0,0,0,Unknown
Vincent,2,1,['Vincent'],Male,Male,Unknown,0,0,0,Male
Death,2,1,['Death'],Unknown,Unknown,Male,49,40,95,Male
Abraham,2,1,['Abraham'],Male,Male,Unknown,0,0,0,Male
Hamlet,2,1,['Hamlet'],Unknown,Unknown,Unknown,1,0,2,Unknown
Shakespeare,2,1,['Shakespeare'],Unknown,Unknown,Unknown,1,0,2,Unknown
Quincey_P._Morris,2,1,['Quincey P. Morris'],Unknown,Unknown,Unknown,0,0,0,Unknown
Sir_John_Paxton,2,2,"['John Paxton', 'Sir John Paxton']",Male,Male,Unknown,0,0,0,Male
Hon,2,1,['Hon'],Unknown,Unknown,Unknown,1,0,4,Unknown
Thor,2,1,['Thor'],Unknown,Unknown,Male,2,0,2,Male
Wilhelmina,2,1,['Wilhelmina'],Unknown,Unknown,Male,8,0,4,Male
Lor,2,1,['Lor'],Unknown,Unknown,Male,3,2,4,Male
Mother,2,1,['Mother'],Unknown,Unknown,Female,36,69,51,Female
Bram_Stoker,2,1,['Bram Stoker'],Unknown,Unknown,Unknown,0,0,0,Unknown
Abraham_Van_Helsing,2,1,['Abraham Van Helsing'],Male,Male,Unknown,0,0,0,Male
Ring,2,1,['Ring'],Unknown,Unknown,Female,9,10,18,Female
Medusa,1,1,['Medusa'],Unknown,Unknown,Unknown,0,0,1,Unknown
Korkrans,1,1,['Korkrans'],Unknown,Unknown,Unknown,0,0,1,Unknown
Bloxam,1,1,['Bloxam'],Unknown,Unknown,Male,8,0,5,Male
Joseph_Smollet,1,1,[' Joseph Smollet'],Male,Male,Unknown,0,0,0,Male
Thomas_Snelling,1,1,['Thomas Snelling'],Male,Male,Unknown,0,0,0,Male
Domine,1,1,['Domine'],Unknown,Unknown,Male,2,0,1,Male
Union,1,1,['Union'],Unknown,Unknown,Unknown,0,0,1,Unknown
Derby,1,1,['Derby'],Unknown,Unknown,Male,3,0,1,Male
Windham,1,1,['Windham'],Unknown,Unknown,Male,2,0,1,Male
Draculas,1,1,['Draculas'],Unknown,Unknown,Unknown,0,0,1,Unknown
Hennessey,1,1,[' Hennessey'],Unknown,Unknown,Unknown,1,0,3,Unknown
Goodness,1,1,['Goodness'],Unknown,Unknown,Female,4,8,7,Female
Almighty_God,1,1,['Almighty God'],Unknown,Unknown,Unknown,0,0,0,Unknown
Poters_Cort,1,1,['Poters Cort'],Unknown,Unknown,Unknown,0,0,0,Unknown
Methuselah,1,1,['Methuselah'],Unknown,Unknown,Unknown,0,1,1,Unknown
Scott,1,1,['Scott'],Unknown,Unknown,Unknown,0,0,1,Unknown
Vincent,1,1,[' Vincent'],Male,Male,Unknown,0,0,0,Male
Byron,1,1,['Byron'],Unknown,Unknown,Unknown,0,0,1,Unknown
Parr,1,1,['Parr'],Unknown,Unknown,Unknown,0,1,1,Unknown
Old,1,1,['Old'],Unknown,Unknown,Male,139,54,190,Male
Bloxam,1,1,[' Bloxam'],Unknown,Unknown,Male,8,0,5,Male
Charcot,1,1,['Charcot'],Unknown,Unknown,Male,2,0,2,Male
Finis,1,1,['Finis'],Unknown,Unknown,Unknown,0,0,2,Unknown
