canonical_key,total_mentions,variations,final_gender_contextual,coref_gender
Petrofsky,1,['Petrofsky'],Unknown,Unknown
Abramoff,1,['Abramoff'],Unknown,Unknown
Olgaren,1,['Olgaren'],Unknown,Male
Spohr,1,['Spohr'],Unknown,Unknown
Mackenzie,1,['Mackenzie'],Unknown,Unknown
Rose,1,['Rose'],Female,Female
Joy,1,['Joy'],Male,Male
Wilhelmina_Murray,1,['Wilhelmina Murray'],Unknown,Unknown
Jack_Sheppard,1,['Jack Sheppard'],Unknown,Unknown
Agatha,1,['Agatha'],Male,Male
Disraeli,1,['Disraeli'],Unknown,Male
Write,1,['Write'],Male,Male
Wire,1,['Wire'],Male,Male
Zoöphagous,1,['Zoöphagous'],Male,Male
Telegram,1,['Telegram'],Male,Male
Holmwood,1,['Holmwood'],Male,Male
Dame_Nature,1,['Dame Nature'],Female,Female
Madame,1,['Madame'],Female,Female
Love,1,['Love'],Male,Male
Vanderpool,1,['Vanderpool'],Unknown,Unknown
Ophelia,1,['Ophelia'],Unknown,Unknown
Bilder,1,['Bilder'],Male,Male
Red_Riding_Hood,1,['Red Riding Hood'],Unknown,Unknown
Old_Bilder,1,['Old Bilder'],Unknown,Unknown
Patrick_Hennessey,1,['Patrick Hennessey'],Male,Male
Marquand,1,[' Marquand'],Unknown,Unknown
Poters_Cort,1,['Poters Cort'],Unknown,Unknown
Green,1,['Green'],Male,Male
Arsk,1,['Arsk'],Male,Male
King,1,['King'],Male,Male
Ellen_Terry,1,['Ellen Terry'],Female,Female
John_Seward,1,[' John Seward'],Male,Male
Holland,1,['Holland'],Male,Male
Mary,1,['Mary'],Female,Female
Finis,1,['Finis'],Unknown,Unknown
Charcot,1,['Charcot'],Male,Male
Bloxam,1,[' Bloxam'],Male,Male
Old,1,['Old'],Male,Male
Parr,1,['Parr'],Unknown,Unknown
Byron,1,['Byron'],Unknown,Male
Vincent,1,[' Vincent'],Male,Male
Scott,1,['Scott'],Unknown,Unknown
Methuselah,1,['Methuselah'],Unknown,Unknown
Almighty_God,1,['Almighty God'],Unknown,Unknown
Goodness,1,['Goodness'],Female,Female
Hennessey,1,[' Hennessey'],Unknown,Unknown
Draculas,1,['Draculas'],Unknown,Unknown
Windham,1,['Windham'],Male,Male
Derby,1,['Derby'],Male,Male
Union,1,['Union'],Unknown,Unknown
Domine,1,['Domine'],Male,Male
Thomas_Snelling,1,['Thomas Snelling'],Male,Male
Joseph_Smollet,1,[' Joseph Smollet'],Male,Male
Bloxam,1,['Bloxam'],Male,Male
Korkrans,1,['Korkrans'],Unknown,Unknown
Medusa,1,['Medusa'],Unknown,Unknown
Viking,1,['Viking'],Male,Male
Dead,1,['Dead'],Male,Male
Simmons,1,['Simmons'],Unknown,Unknown
Malvolio,1,['Malvolio'],Male,Male
Acherontia,1,['Acherontia'],Unknown,Unknown
Moon,1,['Moon'],Male,Male
Harkers,1,['Harkers'],Male,Male
Friend_Quincey,1,['Friend Quincey'],Unknown,Unknown
Arminus,1,['Arminus'],Unknown,Unknown
Tally_Ho,1,['Tally Ho'],Unknown,Unknown
Doolittle,1,['Doolittle'],Female,Female
Ristics,1,['Ristics'],Male,Male
Angel,1,['Angel'],Female,Female
Judge_Moneybag,1,['Judge Moneybag'],Unknown,Unknown
Dardanelles,1,['Dardanelles'],Unknown,Unknown
Lloyd,1,['Lloyd'],Male,Male
Rufus_Smith,1,['Rufus Smith'],Unknown,Unknown
Kukri,1,['Kukri'],Male,Male
Exeter,1,['Exeter'],Male,Male
Morris_Quincey,1,['Morris Quincey'],Male,Male
Hans,1,['Hans'],Male,Male
Archimedes,1,['Archimedes'],Unknown,Unknown
Nordau,1,['Nordau'],Male,Male
Lombroso,1,['Lombroso'],Male,Male
Cattle,1,['Cattle'],Unknown,Unknown
Me,1,['Me'],Male,Male
De_Ville,1,[' de Ville'],Unknown,Unknown
Petrof,1,['Petrof'],Unknown,Unknown
Hildes,1,['Hildes'],Unknown,Unknown
Paxt,1,['Paxt'],Unknown,Unknown
Lordship,1,['Lordship'],Male,Male
Bistritza,1,['Bistritza'],Unknown,Female
