canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender
Little,2,1,['Little'],Unknown,Unknown
Knightleys,2,1,['Knightleys'],Unknown,Unknown
Richard,2,2,"[' Richard', 'Richard']",Male,Male
Richmond,2,1,['Richmond'],Unknown,Unknown
Bragges,2,1,['Bragges'],Unknown,Unknown
God,2,1,['God'],Unknown,Unknown
Box,2,1,['Box'],Unknown,Unknown
S,2,1,['S'],Unknown,Unknown
Adelaide,2,1,['Adelaide'],Female,Female
Jane_Austen,1,1,['Jane Austen'],Female,Female
Mitchell,1,1,['Mitchell'],Unknown,Unknown
Iii,1,1,['III'],Unknown,Unknown
Quick,1,1,['Quick'],Unknown,Unknown
Miss_Prince,1,1,['Miss Prince'],Female,Female
Miss_Richardson,1,1,['Miss Richardson'],Female,Female
Vicar,1,1,['Vicar'],Unknown,Unknown
Nobody,1,1,['Nobody'],Unknown,Unknown
Miss_—_—,1,1,['Miss — —'],Female,Female
Neptune,1,1,['Neptune'],Unknown,Unknown
Miss_Smiths,1,1,['Miss Smiths'],Female,Female
Shakespeare,1,1,['Shakespeare'],Unknown,Unknown
Michaelmas,1,1,['Michaelmas'],Unknown,Unknown
Church,1,1,['Church'],Unknown,Unknown
Garrick,1,1,['Garrick'],Unknown,Unknown
Westons,1,1,[' Westons'],Unknown,Unknown
F,1,1,['F'],Unknown,Unknown
C,1,1,['C'],Unknown,Unknown
Weston_Churchill,1,1,['Weston Churchill'],Unknown,Unknown
Wingfield,1,1,['Wingfield'],Unknown,Unknown
Graham,1,1,[' Graham'],Unknown,Unknown
Braithwaites,1,1,['Braithwaites'],Unknown,Unknown
Charming,1,1,['Charming'],Unknown,Unknown
Sighs,1,1,['Sighs'],Unknown,Unknown
Woodhous,1,1,['Woodhous'],Unknown,Unknown
Miss_Somebody_Else,1,1,['Miss Somebody else'],Female,Female
Surry,1,1,['Surry'],Unknown,Unknown
Baly,1,1,['Baly'],Unknown,Unknown
He,1,1,['He'],Unknown,Unknown
Lieut,1,1,['Lieut'],Unknown,Unknown
Fairfax,1,1,[' Fairfax'],Unknown,Unknown
Miss_Jane_Bates,1,1,['Miss Jane Bates'],Female,Female
Augusta_Hawkins,1,1,['Augusta Hawkins'],Female,Female
Brown,1,1,['Brown'],Unknown,Unknown
Brown,1,1,[' Brown'],Unknown,Unknown
Philip_Elton,1,1,['Philip Elton'],Male,Male
Balls,1,1,['Balls'],Unknown,Unknown
Elegant,1,1,['Elegant'],Unknown,Unknown
Barnes,1,1,['Barnes'],Unknown,Unknown
—_Highbury,1,1,['— Highbury'],Unknown,Unknown
A,1,1,['A'],Unknown,Unknown
Surprizes,1,1,['Surprizes'],Unknown,Unknown
Yes,1,1,['Yes'],Unknown,Unknown
John_Saunders,1,1,['John Saunders'],Male,Male
Wallises,1,1,['Wallises'],Unknown,Unknown
Wallis,1,1,['Wallis'],Unknown,Unknown
Pray,1,1,['Pray'],Unknown,Unknown
Cramer,1,1,['Cramer'],Unknown,Unknown
Robin,1,1,['Robin'],Unknown,Unknown
Adair,1,1,['Adair'],Unknown,Unknown
Gilberts,1,1,['Gilberts'],Unknown,Unknown
Taylor,1,1,[' Taylor'],Unknown,Unknown
Miss_Emma,1,1,['Miss Emma'],Female,Female
Stokes,1,1,['Stokes'],Unknown,Unknown
Alas,1,1,['Alas'],Unknown,Unknown
Suckling,1,1,['Suckling'],Unknown,Unknown
Jeffereys,1,1,[' Jeffereys'],Unknown,Unknown
Clara_Partridge,1,1,['Clara Partridge'],Female,Female
Milmans,1,1,['Milmans'],Unknown,Unknown
Bird,1,1,[' Bird'],Unknown,Unknown
James_Cooper,1,1,[' James Cooper'],Male,Male
Decidedly,1,1,['Decidedly'],Unknown,Unknown
Elto,1,1,['Elto'],Unknown,Unknown
Liable,1,1,['Liable'],Unknown,Unknown
Well,1,1,['Well'],Unknown,Unknown
Anne,1,1,['Anne'],Female,Female
Clifton,1,1,['Clifton'],Unknown,Unknown
Hymen,1,1,['Hymen'],Unknown,Unknown
Tupman,1,1,['Tupman'],Unknown,Unknown
Tupmans,1,1,['Tupmans'],Unknown,Unknown
Aunt_Emma,1,1,['Aunt Emma'],Unknown,Unknown
Uncle_Knightley,1,1,['Uncle Knightley'],Unknown,Unknown
General,1,1,['General'],Unknown,Unknown
Aladdin,1,1,['Aladdin'],Unknown,Unknown
Bought,1,1,['Bought'],Unknown,Unknown
Caroline,1,1,['Caroline'],Female,Female
Arthur,1,1,['Arthur'],Male,Male
Don,1,1,['Don'],Unknown,Unknown
Fai,1,1,['Fai'],Unknown,Unknown
Grandmama,1,1,['Grandmama'],Unknown,Unknown
Tea,1,1,['Tea'],Unknown,Unknown
George_Otway,1,1,[' George Otway'],Male,Male
Em,1,1,['Em'],Unknown,Unknown
June,1,1,['June'],Unknown,Unknown
Cowper,1,1,['Cowper'],Unknown,Unknown
P,1,1,['P'],Unknown,Unknown
Lady_Patroness,1,1,['Lady Patroness'],Female,Female
Mickleham,1,1,['Mickleham'],Unknown,Unknown
Dorking,1,1,['Dorking'],Unknown,Unknown
Chaperon,1,1,['Chaperon'],Unknown,Unknown
Maple_Grove,1,1,['Maple Grove'],Unknown,Unknown
John_Abdy,1,1,['John Abdy'],Male,Male
Tom,1,1,['Tom'],Male,Male
Goldsmith,1,1,['Goldsmith'],Unknown,Unknown
Perrys,1,1,[' Perrys'],Unknown,Unknown
Coles,1,1,[' Coles'],Unknown,Unknown
Hartfie,1,1,['Hartfie'],Unknown,Unknown
Brunswick,1,1,['Brunswick'],Unknown,Unknown
Square,1,1,['Square'],Unknown,Unknown
Miss_F_—,1,1,['Miss F —'],Female,Female
Hill,1,1,['Hill'],Unknown,Unknown
