canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender,contextual_gender,male_pronouns,female_pronouns,context_mentions,final_gender_contextual
Maple,4,1,['Maple'],Unknown,Unknown,Female,5,17,31,Female
Wright,4,1,['Wright'],Male,Male,Unknown,0,0,0,Male
Kingston,4,2,"['King', 'Kingston']",Unknown,Unknown,Male,9,2,8,Male
Cox,4,1,['Cox'],Unknown,Unknown,Female,8,12,8,Female
Knightleys,4,1,[' Knightleys'],Unknown,Unknown,Male,9,6,7,Male
Emma_Woodhouse,4,1,['Emma Woodhouse'],Female,Female,Unknown,0,0,0,Female
Stokes,3,1,[' Stokes'],Unknown,Unknown,Unknown,1,1,4,Unknown
Windsor,3,1,['Windsor'],Unknown,Unknown,Female,1,9,6,Female
Miss_W,3,2,"['Miss W', 'W']",Female,Female,Unknown,0,0,0,Female
Smallridge,3,1,['Smallridge'],Unknown,Unknown,Female,1,18,10,Female
Miss_Bickerton,3,1,['Miss Bickerton'],Female,Female,Unknown,0,0,0,Female
Hughes,3,1,[' Hughes'],Unknown,Unknown,Unknown,0,0,3,Unknown
Serle,3,1,['Serle'],Unknown,Unknown,Female,1,6,3,Female
Dixons,3,1,['Dixons'],Unknown,Unknown,Unknown,0,1,3,Unknown
Elizabeth_Martin,3,1,['Elizabeth Martin'],Female,Female,Unknown,0,0,0,Female
Papa,3,1,['Papa'],Unknown,Unknown,Male,7,2,33,Male
Vicarage,3,1,['Vicarage'],Unknown,Unknown,Female,16,23,17,Female
Bella,3,1,['Bella'],Unknown,Unknown,Male,3,0,3,Male
Wallis,2,1,[' Wallis'],Unknown,Unknown,Unknown,0,1,3,Unknown
Gilbert,2,1,['Gilbert'],Male,Male,Unknown,0,0,0,Male
Short,2,1,['Short'],Unknown,Unknown,Female,64,102,70,Female
Augusta,2,1,['Augusta'],Female,Female,Unknown,0,0,0,Female
Partridge,2,1,[' Partridge'],Unknown,Unknown,Unknown,0,1,3,Unknown
Knightleys,2,1,['Knightleys'],Unknown,Unknown,Male,9,6,7,Male
Little,2,1,['Little'],Unknown,Unknown,Female,296,460,359,Female
William_Cox,2,1,['William Cox'],Male,Male,Unknown,0,0,0,Male
Richard,2,2,"[' Richard', 'Richard']",Male,Male,Unknown,0,0,0,Male
Bragges,2,1,['Bragges'],Unknown,Unknown,Unknown,0,0,2,Unknown
God,2,1,['God'],Unknown,Unknown,Female,4,6,8,Female
Box,2,1,['Box'],Unknown,Unknown,Female,13,27,23,Female
S,2,1,['S'],Unknown,Unknown,Unknown,0,0,0,Unknown
Adelaide,2,1,['Adelaide'],Female,Female,Unknown,0,0,0,Female
M,2,1,['M'],Unknown,Unknown,Unknown,0,0,0,Unknown
Richmond,2,1,['Richmond'],Unknown,Unknown,Male,15,14,13,Male
Anne_Cox,2,1,['Anne Cox'],Female,Female,Unknown,0,0,0,Female
Eltons,2,1,[' Eltons'],Unknown,Unknown,Female,7,27,22,Female
Broadwood,2,1,['Broadwood'],Unknown,Unknown,Female,2,3,2,Female
