canonical_key,total_mentions,variation_count,variations,classified_gender,final_gender
Hugh_Thomson_Ruskin,1,1,['Hugh Thomson Ruskin'],Male,Male
George_Allen,1,1,['George Allen'],Male,Male
Walt_Whitman,1,1,['Walt Whitman'],Unknown,Unknown
Edmund,1,1,['Edmund'],Male,Male
Norris,1,1,['Norris'],Unknown,Unknown
Miss_Bates,1,1,['Miss Bates'],Female,Female
Rushworth,1,1,[' Rushworth'],Unknown,Unknown
Frank_Churchill,1,1,['Frank Churchill'],Male,Male
Jane_Fairfax,1,1,['Jane Fairfax'],Female,Female
John_Thorpe,1,1,['John Thorpe'],Male,Male
Spectator,1,1,[' Spectator'],Unknown,Unknown
Smollett,1,1,['Smollett'],Unknown,Unknown
Miss_Burney,1,1,['Miss Burney'],Female,Female
Addison,1,1,[' Addison'],Unknown,Unknown
Shapely,1,1,[' Shapely'],Unknown,Unknown
Mentor,1,1,['Mentor'],Unknown,Unknown
Musgrove,1,1,[' Musgrove'],Unknown,Unknown
Goldwin_Smith,1,1,[' Goldwin Smith'],Unknown,Unknown
Memling,1,1,['Memling'],Unknown,Unknown
Meissonier,1,1,['Meissonier'],Unknown,Unknown
Cosway,1,1,['Cosway'],Unknown,Unknown
Scott,1,1,['Scott'],Unknown,Unknown
Mary_Wollstonecraft,1,1,['Mary Wollstonecraft'],Female,Female
De_Maupassant,1,1,[' de Maupassant'],Unknown,Unknown
John_Dashwood,1,1,['John Dashwood'],Male,Male
Philistinism,1,1,['Philistinism'],Unknown,Unknown
Lady_Powerful,1,1,['Lady Powerful'],Female,Female
Bountiful,1,1,['Bountiful'],Unknown,Unknown
Austen_Leigh,1,1,['Austen Leigh'],Unknown,Unknown
Austen_Leigh,1,1,[' Austen Leigh'],Unknown,Unknown
Don_Juanish,1,1,['Don Juanish'],Unknown,Unknown
Henry,1,1,['Henry'],Male,Male
Diana_Vernon,1,1,['Diana Vernon'],Female,Female
Argemone_Lavington,1,1,['Argemone Lavington'],Unknown,Unknown
Grant,1,1,['Grant'],Unknown,Unknown
Diana,1,1,['Diana'],Female,Female
Morris,1,1,[' Morris'],Male,Male
Observing,1,1,['Observing'],Unknown,Unknown
Boulanger,1,1,['Boulanger'],Unknown,Unknown
G,1,1,['G'],Unknown,Unknown
Miss_Watson,1,1,['Miss Watson'],Female,Female
Clarke,1,1,['Clarke'],Unknown,Unknown
Hursts,1,1,['Hursts'],Unknown,Unknown
Jones,1,1,['Jones'],Unknown,Unknown
Jane_Bennet,1,1,['Jane Bennet'],Female,Female
Miss_Grantley,1,1,['Miss Grantley'],Female,Female
Nicholls,1,1,['Nicholls'],Unknown,Unknown
Westerham,1,1,['Westerham'],Unknown,Unknown
Fordyce,1,1,['Fordyce'],Unknown,Unknown
Richard,1,1,['Richard'],Male,Male
Pray,1,1,['Pray'],Unknown,Unknown
Caroline_Bingley,1,1,['Caroline Bingley'],Female,Female
Georgiana_Darcy,1,1,['Georgiana Darcy'],Female,Female
St,1,1,['St'],Unknown,Unknown
James,1,1,['James'],Male,Male
Lodge,1,1,['Lodge'],Unknown,Unknown
Fitzwilliam_Darcy,1,1,['Fitzwilliam Darcy'],Unknown,Unknown
C,1,1,['C'],Unknown,Unknown
Hi,1,1,['Hi'],Unknown,Unknown
Maria_Lucas,1,1,['Maria Lucas'],Female,Female
Elizabe,1,1,['Elizabe'],Unknown,Unknown
Elizab,1,1,['Elizab'],Unknown,Unknown
Miss_Webbs,1,1,['Miss Webbs'],Female,Female
Lady_Metcalfe,1,1,['Lady Metcalfe'],Female,Female
Miss_Pope,1,1,['Miss Pope'],Female,Female
Darc,1,1,['Darc'],Unknown,Unknown
O,1,1,['O'],Unknown,Unknown
Lady_Anne,1,1,['Lady Anne'],Female,Female
Bromley,1,1,['Bromley'],Unknown,Unknown
Mary_King,1,1,['Mary King'],Female,Female
Harringtons,1,1,['Harringtons'],Unknown,Unknown
Pen,1,1,['Pen'],Unknown,Unknown
Chamberlayne,1,1,['Chamberlayne'],Unknown,Unknown
Aunt,1,1,['aunt'],Unknown,Unknown
B,1,1,['B'],Unknown,Unknown
Woods,1,1,['Woods'],Unknown,Unknown
Dovedale,1,1,['Dovedale'],Unknown,Unknown
Lambton,1,1,['Lambton'],Unknown,Unknown
Brighton,1,1,['Brighton'],Unknown,Unknown
Forsters,1,1,['Forsters'],Unknown,Unknown
Green,1,1,['Green'],Unknown,Unknown
Lydia_Wickham,1,1,['Lydia Wickham'],Female,Female
Sally,1,1,['Sally'],Female,Female
Clapham,1,1,['Clapham'],Unknown,Unknown
E,1,1,['E'],Unknown,Unknown
Goulding,1,1,['Goulding'],Unknown,Unknown
William_Goulding,1,1,['William Goulding'],Male,Male
Stone,1,1,['Stone'],Unknown,Unknown
Niece,1,1,['Niece'],Unknown,Unknown
Edward_Street,1,1,['Edward Street'],Male,Male
Younge,1,1,['Younge'],Unknown,Unknown
Street,1,1,['Street'],Unknown,Unknown
Nichols,1,1,[' Nichols'],Unknown,Unknown
Well,1,1,['Well'],Unknown,Unknown
Sarah,1,1,['Sarah'],Female,Female
Ben,1,1,['Ben'],Male,Male
Hertfordshire,1,1,['Hertfordshire'],Unknown,Unknown
Catherin,1,1,['Catherin'],Unknown,Unknown
